Task ID,Age Group,Intelligence Area,Skill Area,Task Description,UUID,Rubric,Task Status
1,4-7,Visual-Spatial,Artistic Abilities,"Create a collage using natural objects like leaves, flowers, and sticks.",940c1c78-1ee6-4ef3-9590-1195f79f800c,🪨 to 🌻,Not Started
2,4-7,Visual-Spatial,3D Spatial Skills,"Build a 3D sculpture from stones, clay, and twigs to represent a wild creature.",a6d47fd9-00a1-4267-a106-180649c21aa0,🪨 to 🌻,Not Started
3,4-7,Visual-Spatial,Pattern Recognition,"Make symmetrical patterns using shells, pebbles, and leaves.",f89679e6-7b1e-4bf0-8e25-2fe008afb823,🪨 to 🌻,Not Started
4,4-7,Visual-Spatial,Geometry Awareness,Form basic geometric shapes using twigs and string in outdoor space.,cf574003-2cb3-427e-9988-672df36ea6f7,🪨 to 🌻,Not Started
5,4-7,Visual-Spatial,Map Reading,Sketch a treasure map of your school compound with a hidden nature clue.,43acce0f-7c4e-4de2-b976-6346d427f62b,🪨 to 🌻,Not Started
6,4-7,Visual-Spatial,Symbol Use,Design a symbol or logo inspired by a wild animal using drawing materials.,f6be02a4-18a5-45d1-8fb8-1e8d39a7d04e,🪨 to 🌻,Not Started
7,4-7,Visual-Spatial,Puzzle Solving,Assemble a nature-themed jigsaw puzzle or create your own.,a1145b16-87b1-48a6-861e-40c14a7bbb39,🪨 to 🌻,Not Started
8,4-7,Visual-Spatial,Perspective Drawing,Draw a scene from nature from a bird’s eye and worm’s eye view.,9e6e1c46-6dff-47bb-a3e8-73c1c70b1cf9,🪨 to 🌻,Not Started
9,4-7,Visual-Spatial,Visual Interpretation,Match shadows to objects in nature and sketch the results.,022c7592-0d13-4a77-80a4-0c5e2259aed5,🪨 to 🌻,Not Started
10,4-7,Verbal-Linguistic,Storytelling,Tell or write a story about a magical tree that saves animals.,85642090-3130-4ed3-929d-71887efd273e,🪨 to 🌻,Not Started
11,4-7,Verbal-Linguistic,Persuasion,Write a persuasive speech about protecting your favorite wild space.,742b7243-3d5f-4972-86fd-b846a8de4399,🪨 to 🌻,Not Started
12,4-7,Verbal-Linguistic,Descriptive Writing,Describe a walk in the wild using vivid sensory words.,9c593c42-d1e0-4ca5-880b-2cdd790d49af,🪨 to 🌻,Not Started
13,4-7,Verbal-Linguistic,Public Speaking,Present a 1-minute speech on 'Why Nature Needs Us'.,79f80864-d866-4122-a1a2-52e74feecc6e,🪨 to 🌻,Not Started
14,4-7,Verbal-Linguistic,Interviewing,Pretend to interview an animal about its habitat.,aec05213-ea29-4756-8f1c-f59e39b566be,🪨 to 🌻,Not Started
15,4-7,Verbal-Linguistic,Poetry Writing,Write a haiku or poem inspired by a wild experience.,a0953a0b-7a78-497f-ac8f-b5473474e20f,🪨 to 🌻,Not Started
16,4-7,Verbal-Linguistic,Vocabulary Building,Create a nature glossary with new wild-themed words.,a0dabd1e-0f64-435f-bb8d-fbf284bb8514,🪨 to 🌻,Not Started
17,4-7,Verbal-Linguistic,Report Writing,Write a field report about your outdoor observation.,a517a9b9-f104-4d5e-8986-bb6149643124,🪨 to 🌻,Not Started
18,4-7,Verbal-Linguistic,Metaphors and Similes,Use metaphors to describe nature (e.g. the wind is a whisper).,95821a38-49db-4f21-8436-b6ac2b81868e,🪨 to 🌻,Not Started
19,8-11,Visual-Spatial,Artistic Abilities,"Create a collage using natural objects like leaves, flowers, and sticks.",d54e756a-52f7-4da8-ba61-bd803082464a,🪨 to 🌻,Not Started
20,8-11,Visual-Spatial,3D Spatial Skills,"Build a 3D sculpture from stones, clay, and twigs to represent a wild creature.",b9f007bf-15ad-48c5-bd25-6f3a78799e0a,🪨 to 🌻,Not Started
21,8-11,Visual-Spatial,Pattern Recognition,"Make symmetrical patterns using shells, pebbles, and leaves.",f270632c-ad8c-4b4b-bbe4-874dd3d5149e,🪨 to 🌻,Not Started
22,8-11,Visual-Spatial,Geometry Awareness,Form basic geometric shapes using twigs and string in outdoor space.,9343e582-1846-4d2b-827d-a07ba70539cf,🪨 to 🌻,Not Started
23,8-11,Visual-Spatial,Map Reading,Sketch a treasure map of your school compound with a hidden nature clue.,d91f8280-382a-4a81-8f79-ccd912670a29,🪨 to 🌻,Not Started
24,8-11,Visual-Spatial,Symbol Use,Design a symbol or logo inspired by a wild animal using drawing materials.,f099aece-b8d4-4c9d-bca1-771d436f05c5,🪨 to 🌻,Not Started
25,8-11,Visual-Spatial,Puzzle Solving,Assemble a nature-themed jigsaw puzzle or create your own.,f75a0817-4dba-44a7-854d-a0349ed37065,🪨 to 🌻,Not Started
26,8-11,Visual-Spatial,Perspective Drawing,Draw a scene from nature from a bird’s eye and worm’s eye view.,5524ea5d-6aa8-47a6-b7ba-c3ce6ff1f2d0,🪨 to 🌻,Not Started
27,8-11,Visual-Spatial,Visual Interpretation,Match shadows to objects in nature and sketch the results.,5be71902-8a14-41b9-b9e7-84790b6ff3e4,🪨 to 🌻,Not Started
28,8-11,Verbal-Linguistic,Storytelling,Tell or write a story about a magical tree that saves animals.,90adbe7d-5328-47d4-8650-7e5eec9ff06a,🪨 to 🌻,Not Started
29,8-11,Verbal-Linguistic,Persuasion,Write a persuasive speech about protecting your favorite wild space.,2d062821-1613-437e-8057-cebad23ac614,🪨 to 🌻,Not Started
30,8-11,Verbal-Linguistic,Descriptive Writing,Describe a walk in the wild using vivid sensory words.,4d3f10bd-0eaf-4a24-8e25-178411523f20,🪨 to 🌻,Not Started
31,8-11,Verbal-Linguistic,Public Speaking,Present a 1-minute speech on 'Why Nature Needs Us'.,e302e0c6-5cbd-417f-b56f-3f17797f2923,🪨 to 🌻,Not Started
